angle	ws (m/s)	Freq
243	18	0.000120191
243	19	8.13357E-05
243	20	5.2838E-05
243	21	3.29361E-05
243	22	1.96902E-05
243	23	1.12839E-05
243	24	6.19548E-06
243	25	3.25735E-06
246	4	0.000353968
246	5	0.000458672
246	6	0.000549144
246	7	0.000617543
246	8	0.000658393
246	9	0.000669206
246	10	0.000650711
246	11	0.00060661
246	12	0.000542881
246	13	0.000466785
246	14	0.00038577
246	15	0.000306482
246	16	0.000234064
246	17	0.000171807
246	18	0.000121174
246	19	8.20902E-05
246	20	5.33962E-05
246	21	3.33331E-05
246	22	1.9961E-05
246	23	1.14608E-05
246	24	6.30596E-06
246	25	3.32324E-06
249	4	0.00035793
249	5	0.000464295
249	6	0.000556435
249	7	0.000626363
249	8	0.00066846
249	9	0.00068012
249	10	0.000661998
249	11	0.00061777
249	12	0.000553448
249	13	0.000476375
249	14	0.000394115
249	15	0.000313448
249	16	0.00023964
249	17	0.000176088
249	18	0.000124325
249	19	8.43127E-05
249	20	5.4898E-05
249	21	3.43049E-05
249	22	2.05629E-05
249	23	1.18174E-05
249	24	6.50795E-06
249	25	3.43259E-06
252	4	0.000362829
252	5	0.000471815
252	6	0.000566744
252	7	0.000639363
252	8	0.00068378
252	9	0.000697147
252	10	0.000679944
252	11	0.000635771
252	12	0.00057067
252	13	0.000492113
252	14	0.000407863
252	15	0.000324933
252	16	0.000248819
252	17	0.000183104
252	18	0.000129453
252	19	8.78961E-05
252	20	5.7291E-05
252	21	3.58312E-05
252	22	2.14922E-05
252	23	1.23572E-05
252	24	6.80681E-06
252	25	3.59019E-06
255	4	0.000368429
255	5	0.000480764
255	6	0.000579349
255	7	0.000655581
255	8	0.000703197
255	9	0.000719006
255	10	0.000703232
255	11	0.000659345
255	12	0.0005934
255	13	0.000513022
255	14	0.000426232
255	15	0.000340354
255	16	0.00026119
255	17	0.000192591
255	18	0.000136405
255	19	9.27626E-05
255	20	6.05441E-05
255	21	3.79066E-05
255	22	2.27551E-05
255	23	1.30896E-05
255	24	7.21137E-06
255	25	3.8028E-06
258	4	0.000374518
258	5	0.000490695
258	6	0.000593543
258	7	0.00067406
258	8	0.000725547
258	9	0.000744401
258	10	0.000730521
258	11	0.000687192
258	12	0.000620459
258	13	0.000538101
258	14	0.000448425
258	15	0.000359115
258	16	0.000276348
258	17	0.000204294
258	18	0.000145038
258	19	9.88468E-05
258	20	6.46381E-05
258	21	4.05359E-05
258	22	2.43657E-05
258	23	1.403E-05
258	24	7.73439E-06
258	25	4.07963E-06
261	4	0.000380956
261	5	0.000501239
261	6	0.000608693
261	7	0.000693902
261	8	0.000749704
261	9	0.000772041
261	10	0.000760442
261	11	0.000717964
261	12	0.000650604
261	13	0.000566276
261	14	0.000473576
261	15	0.000380571
261	16	0.000293843
261	17	0.000217931
261	18	0.000155199
261	19	0.00010608
261	20	6.95568E-05
261	21	4.37293E-05
261	22	2.63442E-05
261	23	1.51992E-05
261	24	8.39286E-06
261	25	4.43287E-06
264	4	0.000387704
264	5	0.000512146
264	6	0.000624285
264	7	0.000714313
264	8	0.00077461
264	9	0.000800665
264	10	0.000791617
264	11	0.000750262
264	12	0.00068251
264	13	0.000596377
264	14	0.000500719
264	15	0.000403978
